Wavelength,Average,Red,Green,Blue
325.944,0,0,0,0
326.149,0,0,0,0
326.355,0,0,0,0
326.561,0,0,0,0
326.766,0,0,0,0
326.972,0,0,0,0
327.178,0,0,0,0
327.383,0,0,0,0
327.589,0,0,0,0
327.795,0,0,0,0
328.000,0,0,0,0
328.206,0,0,0,0
328.412,0,0,0,0
328.617,0,0,0,0
328.823,0,0,0,0
329.029,0,0,0,0
329.235,0,0,0,0
329.440,0,0,0,0
329.646,0,0,0,0
329.852,0,0,0,0
330.057,0,0,0,0
330.263,0,0,0,0
330.469,0,0,0,0
330.674,0,0,0,0
330.880,0,0,0,0
331.086,0,0,0,0
331.291,0,0,0,0
331.497,0,0,0,0
331.703,0,0,0,0
331.908,0,0,0,0
332.114,0,0,0,0
332.320,0,0,0,0
332.525,0,0,0,0
332.731,0,0,0,0
332.937,0,0,0,0
333.143,0,0,0,0
333.348,0,0,0,0
333.554,0,0,0,0
333.760,0,0,0,0
333.965,0,0,0,0
334.171,0,0,0,0
334.377,0,0,0,0
334.582,0,0,0,0
334.788,0,0,0,0
334.994,0,0,0,0
335.199,0,0,0,0
335.405,0,0,0,0
335.611,0,0,0,0
335.816,0,0,0,0
336.022,0,0,0,0
336.228,0,0,0,0
336.433,0,0,0,0
336.639,0,0,0,0
336.845,0,0,0,0
337.051,0,0,0,0
337.256,0,0,0,0
337.462,0,0,0,0
337.668,0,0,0,0
337.873,0,0,0,0
338.079,0,0,0,0
338.285,0,0,0,0
338.490,0,0,0,0
338.696,0,0,0,0
338.902,0,0,0,0
339.107,0,0,0,0
339.313,0,0,0,0
339.519,0,0,0,0
339.724,0,0,0,0
339.930,0,0,0,0
340.136,0,0,0,0
340.341,0,0,0,0
340.547,0,0,0,0
340.753,0,0,0,0
340.959,0,0,0,0
341.164,0,0,0,0
341.370,0,0,0,0
341.576,0,0,0,0
341.781,0,0,0,0
341.987,0,0,0,0
342.193,0,0,0,0
342.398,0,0,0,0
342.604,0,0,0,0
342.810,0,0,0,0
343.015,0,0,0,0
343.221,0,0,0,0
343.427,0,0,0,0
343.632,0,0,0,0
343.838,0,0,0,0
344.044,0,0,0,0
344.25,0,0,0,0
344.455,0,0,0,0
344.661,0,0,0,0
344.867,0,0,0,0
345.072,0,0,0,0
345.278,0,0,0,0
345.484,0,0,0,0
345.689,0,0,0,0
345.895,0,0,0,0
346.101,0,0,0,0
346.306,0,0,0,0
346.512,0,0,0,0
346.718,0,0,0,0
346.923,0,0,0,0
347.129,0,0,0,0
347.335,0,0,0,0
347.540,0,0,0,0
347.746,0,0,0,0
347.952,0,0,0,0
348.158,0,0,0,0
348.363,0,0,0,0
348.569,0,0,0,0
348.775,0,0,0,0
348.980,0,0,0,0
349.186,0,0,0,0
349.392,0,0,0,0
349.597,0,0,0,0
349.803,0,0,0,0
350.009,0,0,0,0
350.214,0,0,0,0
350.420,0,0,0,0
350.626,0,0,0,0
350.831,0,0,0,0
351.037,0,0,0,0
351.243,0,0,0,0
351.448,0,0,0,0
351.654,0,0,0,0
351.860,0,0,0,0
352.066,0,0,0,0
352.271,0,0,0,0
352.477,0,0,0,0
352.683,0,0,0,0
352.888,0,0,0,0
353.094,0,0,0,0
353.300,0,0,0,0
353.505,0,0,0,0
353.711,0,0,0,0
353.917,0,0,0,0
354.122,0,0,0,0
354.328,0,0,0,0
354.534,0,0,0,0
354.739,0,0,0,0
354.945,0,0,0,0
355.151,0,0,0,0
355.356,0,0,0,0
355.562,0,0,0,0
355.768,0,0,0,0
355.974,0,0,0,0
356.179,0,0,0,0
356.385,0,0,0,0
356.591,0,0,0,0
356.796,0,0,0,0
357.002,0,0,0,0
357.208,0,0,0,0
357.413,0,0,0,0
357.619,0,0,0,0
357.825,0,0,0,0
358.030,0,0,0,0
358.236,0,0,0,0
358.442,0,0,0,0
358.647,0,0,0,0
358.853,0,0,0,0
359.059,0,0,0,0
359.264,0,0,0,0
359.470,0,0,0,0
359.676,0,0,0,0
359.882,0,0,0,0
360.087,0,0,0,0
360.293,0,0,0,0
360.499,0,0,0,0
360.704,0,0,0,0
360.910,0,0,0,0
361.116,0,0,0,0
361.321,0,0,0,0
361.527,0,0,0,0
361.733,0,0,0,0
361.938,0,0,0,0
362.144,0,0,0,0
362.350,0,0,0,0
362.555,0,0,0,0
362.761,0,0,0,0
362.967,0,0,0,0
363.172,0,0,0,0
363.378,0,0,0,0
363.584,0,0,0,0
363.790,0,0,0,0
363.995,0,0,0,0
364.201,0,0,0,0
364.407,0,0,0,0
364.612,0,0,0,0
364.818,0,0,0,0
365.024,0,0,0,0
365.229,0,0,0,0
365.435,0,0,0,0
365.641,0,0,0,0
365.846,0,0,0,0
366.052,0,0,0,0
366.258,0,0,0,0
366.463,0,0,0,0
366.669,0,0,0,0
366.875,0,0,0,0
367.080,0,0,0,0
367.286,0,0,0,0
367.492,0,0,0,0
367.698,0,0,0,0
367.903,0,0,0,0
368.109,0,0,0,0
368.315,0,0,0,0
368.520,0,0,0,0
368.726,0,0,0,0
368.932,0,0,0,0
369.137,0,0,0,0
369.343,0,0,0,0
369.549,0,0,0,0
369.754,0,0,0,0
369.960,0,0,0,0
370.166,0,0,0,0
370.371,0,0,0,0
370.577,0,0,0,0
370.783,0,0,0,0
370.988,0,0,0,0
371.194,0,0,0,0
371.400,0,0,0,0
371.606,0,0,0,0
371.811,0,0,0,0
372.017,0,0,0,0
372.223,0,0,0,0
372.428,0,0,0,0
372.634,0,0,0,0
372.840,0,0,0,0
373.045,0,0,0,0
373.251,0,0,0,0
373.457,0,0,0,0
373.662,0,0,0,0
373.868,0,0,0,0
374.074,0,0,0,0
374.279,0,0,0,0
374.485,0,0,0,0
374.691,0,0,0,0
374.896,0,0,0,0
375.102,0,0,0,0
375.308,0,0,0,0
375.514,0,0,0,0
375.719,0,0,0,0
375.925,0,0,0,0
376.131,0,0,0,0
376.336,0,0,0,0
376.542,0,0,0,0
376.748,0,0,0,0
376.953,0,0,0,0
377.159,0,0,0,0
377.365,0,0,0,0
377.570,0,0,0,0
377.776,0,0,0,0
377.982,0,0,0,0
378.187,0,0,0,0
378.393,0,0,0,0
378.599,0,0,0,0
378.804,0,0,0,0
379.010,0,0,0,0
379.216,0,0,0,0
379.422,0,0,0,0
379.627,0,0,0,0
379.833,0,0,0,0
380.039,0,0,0,0
380.244,0,0,0,0
380.450,0,0,0,0
380.656,0,0,0,0
380.861,0,0,0,0
381.067,0,0,0,0
381.273,0,0,0,0
381.478,0,0,0,0
381.684,0,0,0,0
381.890,0,0,0,0
382.095,0,0,0,0
382.301,0,0,0,0
382.507,0,0,0,0
382.713,0,0,0,0
382.918,0,0,0,0
383.124,0,0,0,0
383.330,0,0,0,0
383.535,0,0,0,0
383.741,0,0,0,0
383.947,0,0,0,0
384.152,0,0,0,0
384.358,0,0,0,0
384.564,0,0,0,0
384.769,0,0,0,0
384.975,0,0,0,0
385.181,0,0,0,0
385.386,0,0,0,0
385.592,0,0,0,0
385.798,0,0,0,0
386.003,0,0,0,0
386.209,0,0,0,0
386.415,0,0,0,0
386.621,0,0,0,0
386.826,0,0,0,0
387.032,0,0,0,0
387.238,0,0,0,0
387.443,0,0,0,0
387.649,0,0,0,0
387.855,0,0,0,0
388.060,0,0,0,0
388.266,0,0,0,0
388.472,0,0,0,0
388.677,0,0,0,0
388.883,0,0,0,0
389.089,0,0,0,0
389.294,0,0,0,0
389.500,0,0,0,0
389.706,0,0,0,0
389.911,0,0,0,0
390.117,0,0,0,0
390.323,0,0,0,0
390.529,0,0,0,0
390.734,0,0,0,0
390.940,0,0,0,0
391.146,0,0,0,0
391.351,0,0,0,0
391.557,0,0,0,0
391.763,0,0,0,0
391.968,0,0,0,0
392.174,0,0,0,0
392.380,0,0,0,0
392.585,0,0,0,0
392.791,0,0,0,0
392.997,0,0,0,0
393.202,0,0,0,0
393.408,0,0,0,0
393.614,0,0,0,0
393.819,0,0,0,0
394.025,0,0,0,0
394.231,0,0,0,0
394.437,0,0,0,0
394.642,0,0,0,0
394.848,0,0,0,0
395.054,0,0,0,0
395.259,0,0,0,0
395.465,0,0,0,0
395.671,0,0,0,0
395.876,0,0,0,0
396.082,0,0,0,0
396.288,0,0,0,0
396.493,0,0,0,0
396.699,0,0,0,0
396.905,0,0,0,0
397.110,0,0,0,0
397.316,0,0,0,0
397.522,0,0,0,0
397.727,0,0,0,0
397.933,0,0,0,0
398.139,0,0,0,0
398.345,0,0,0,0
398.550,0,0,0,0
398.756,0,0,0,0
398.962,0,0,0,0
399.167,0,0,0,0
399.373,0,0,0,0
399.579,0,0,0,0
399.784,0,0,0,0
399.990,0,0,0,0
400.196,0,0,0,0
400.401,0,0,0,0
400.607,0,0,0,0
400.813,0,0,0,0
401.018,0,0,0,0
401.224,0,0,0,0
401.430,0,0,0,0
401.635,0,0,0,0
401.841,0,0,0,0
402.047,0,0,0,0
402.253,0,0,0,0
402.458,0,0,0,0
402.664,0,0,0,0
402.870,0,0,0,0
403.075,0,0,0,0
403.281,0,0,0,0
403.487,0,0,0,0
403.692,0,0,0,0
403.898,0,0,0,0
404.104,0,0,0,0
404.309,0,0,0,0
404.515,0,0,0,0
404.721,0,0,0,0
404.926,0,0,0,0
405.132,0,0,0,0
405.338,0,0,0,0
405.543,0,0,0,0
405.749,0,0,0,0
405.955,0,0,0,0
406.161,0,0,0,0
406.366,0,0,0,0
406.572,0,0,0,0
406.778,0,0,0,0
406.983,0,0,0,0
407.189,0,0,0,0
407.395,0,0,0,0
407.600,0,0,0,0
407.806,0,0,0,0
408.012,0,0,0,0
408.217,0,0,0,0
408.423,0,0,0,0
408.629,0,0,0,0
408.834,0,0,0,0
409.040,0,0,0,0
409.246,0,0,0,0
409.451,0,0,0,0
409.657,0,0,0,0
409.863,0,0,0,0
410.069,0,0,0,0
410.274,0,0,0,0
410.480,0,0,0,0
410.686,0,0,0,0
410.891,0,0,0,0
411.097,0,0,0,0
411.303,0,0,0,0
411.508,0,0,0,0
411.714,0,0,0,0
411.920,0,0,0,0
412.125,0,0,0,0
412.331,0,0,0,0
412.537,0,0,0,0
412.742,0,0,0,0
412.948,0,0,0,0
413.154,0,0,0,0
413.359,0,0,0,0
413.565,0,0,0,0
413.771,0,0,0,0
413.977,0,0,0,0
414.182,0,0,0,0
414.388,0,0,0,0
414.594,0,0,0,0
414.799,0,0,0,0
415.005,0,0,0,0
415.211,0,0,0,0
415.416,0,0,0,0
415.622,0,0,0,0
415.828,0,0,0,0
416.033,0,0,0,0
416.239,0,0,0,0
416.445,0,0,0,0
416.650,0,0,0,0
416.856,0,0,0,0
417.062,0,0,0,0
417.267,0,0,0,0
417.473,0,0,0,0
417.679,0,0,0,0
417.885,0,0,0,0
418.090,0,0,0,0
418.296,0,0,0,0
418.502,0,0,0,0
418.707,0,0,0,0
418.913,0,0,0,0
419.119,0,0,0,0
419.324,0,0,0,0
419.530,0,0,0,0
419.736,0,0,0,0
419.941,0,0,0,0
420.147,0,0,0,0
420.353,0,0,0,0
420.558,0,0,0,0
